competency_id,competency_name,competency_type,description
SKLVET19,Veterinary Sports Medicine and Rehabilitation,Skill,"Diagnoses and manages injuries and diseases that affect the muscles, bones, joints, and nerves of the limbs and spine in a non-surgical manner. Provides treatment and rehabilitation. Decides when the animal can return to practice or competition."
SKLVET20,Dairy Production Medicine,Skill,"Applies knowledge and a wide array of skills to dairy herd management to optimize animal health and welfare, production, and maintain the profitability of the dairy."
SKLVET24,Feline General Practice,Skill,"Provides various specialized services specific to cats as patients (e.g., preventative care, examinations, diagnostics, routine surgeries, non-routine surgeries, dental services, end-of-life care, and euthanasia)."
SKLVET29,Swine Health Management,Skill,"Manages the various aspects of swine's health. Offers screenings, check-ups, and tests to find, treat or prevent illnesses, disease, or other health problems."
SKLVET30,Theriogenology,Skill,"Handles all aspects of veterinary reproductive medicine and surgery. Studies the anatomy, physiology, pathology, and pharmacology and applies this knowledge to all aspects of clinical practice related to male and female animal reproduction, obstetrics, an"
SKLVET33,Veterinary Anesthesia,Skill,"Administers anesthetics to cause the loss of physical sensation, whether with or without the loss of consciousness. Ensures that pain and distress are minimized in animals. Chooses appropriate drugs, doses, and procedures. Establishes the degree of pain. "
SKLVET35,Veterinary Bacteriology,Skill,"Studies the morphology, ecology, genetics, and biochemistry of bacteria and fungi, as well as other related aspects that may cause disease in animals. Determines antimicrobial agents to which the bacteria or fungi might respond."
SKLVET41,Veterinary Dentistry,Skill,"Practices oral health care in animals to prevent or treat diseases and developmental conditions, as well as injuries of the teeth, gums, and oral cavities."
SKLVET46,Veterinary Hematology,Skill,"Studies and analyzes blood, blood-forming organs, and blood diseases in animals to treat blood disorders and malignancies, including types of hemophilia, leukemia, lymphoma, and sickle-cell anemia."
SKLVET49,Veterinary Palliative Care,Skill,Cares for animal patients and tries to relieve suffering by managing physical symptoms caused by illness or medication. May or may not try to cure illnesses.
SKLVET50,Veterinary Hospital Sanitation,Skill,Adheres to the procedures for properly cleaning the veterinary hospital to prevent direct contamination or adulteration of the product.
SKLIT335,Web Architecture,Skill,"Plans and determines the functional, visual, and technical aspects of a website before it is designed and released."
SKLIT345,World Wide Web (WWW),Skill,Uses the World Wide Web to gain access to a vast array of online public webpages and documents.
SKLVET71,Zoological Medicine,Skill,"Uses the principles of ecology, wildlife conservation, and veterinary medicine. Applies knowledge to wild animals in natural and artificial environments."
SKLMIN21,Mining Operations,Skill,"Develops and implements processes for managing the activities in and around a mine site that produces a mineral product. Activities include mine development, drilling, blasting, extraction, milling, crushing, screening, or sizing of minerals, as well as t"
SKLMIN22,GPS Technology,Skill,"Uses GPS technology to track, monitor and manage workers, vehicles, and assets underground, improving productivity, health and safety, and post-incident analysis, etc."
SKLVET72,Veterinary Medicine Knowledge,Skill,Uses traditional animal drugs when treating animal patients. Displays knowledge of and uses drugs that will work best for the specific animal species and size.
SKLVET73,Large Animal Internal Medicine,Skill,"Uses a vast knowledge of anatomy, physiology, and internal medicine as well as specialized tools to diagnose and manage several problems in large animals."
SKLPP01,Law Enforcement,Skill,Understands all laws dealing with the regulation and code of conduct of law enforcement officials.
SKLPP02,Public Order,Skill,Ensures that laws are obeyed to create a stable and secure society.
SKLPP04,Apprehension or Detention,Skill,"Seizes, arrests, and detains a person who may be guilty of a crime."
SKLVET03,Animal Husbandry,Skill,"Uses scientific methods to breed and care for animals in a controlled manner. Breeds these animals for utility (e.g., food), sport, pleasure, and research."
SKLVET04,Veterinary Science Industry,Skill,"Applies veterinary science or medicine industry knowledge appropriately to diverse situations. Understands industry trends, directions, major issues, regulatory considerations, and trends."
SKLVET05,Veterinary Practice Management,Skill,"Understands the operations of a veterinary facility and/or manages a veterinary practice, clinic, or kennel. Facilitates functions related to the business, medical, and human resources. Ensures daily operations run smoothly and meets financial goals."
CAP001,Accelerating,Talent,Speeds up production or service delivery to meet required business needs.
SKLVET47,Veterinary Holistic Medicine,Skill,"Determines the best combination of conventional, alternative, or complementary therapies for a given animal. Applies this combination of treatments and takes the whole picture of the animal patient into consideration (e.g., environment, the disease patter"
SKLVET51,Veterinary Immunology,Skill,Studies the physiological functioning of the animal immune system in health and disease states.
SKLVET52,Veterinary Massage Therapy,Skill,"Uses knowledge of anatomy, physiology, and massage techniques to improve the physical well-being of an animal."
SKLVET53,Veterinary Medical Oncology,Skill,Diagnoses and treats cancer in animals.
SKLVET55,Veterinary Neurology,Skill,Examines animals with the purpose of diagnosing and treating those that might be affected by diseases of the nervous system.
SKLVET56,Veterinary Nutrition,Skill,Provides specialty consultations to animals where a diet is formulated or created to prevent and manage disease.
SKLVET57,Veterinary Ophthalmology,Skill,Examines animals with the purpose of diagnosing and treating those that might have eye disorders.
SKLVET63,Veterinary Preventive Medicine,Skill,"Focuses on detecting and disseminating information to prevent, control, or eradicate diseases."
SKLVET64,Veterinary Therapeutic Laser Treatment,Skill,Uses a special light to penetrate the skin and tissue to help open up blood flow to a specific area with the purpose of accelerating the natural healing process.
SKLVET65,Veterinary Toxicology,Skill,"Evaluates toxicoses, identifies and characterizes toxins, and determines the effect on the body of animals. Treats toxicoses in animals."
SKLVET66,Veterinary Ultrasonography,Skill,Uses ultrasonic sound waves to create images of body structures.
SKLMIN01,Smart Mining,Skill,"Studies data from automated machines and combines it with analytics, artificial intelligence, machine learning and automation to make mining safer and more productive."
SKLMIN02,"Mine Strategy, Planning & Design",Skill,Devises a mining strategy and supporting policy to ensure the organization has a sound plan for reaching its goals and guiding principles in how to achieve them. Visualizes investment options and optimizes equipment use through factors like mine capacity 
SKLMIN03,Mining Compliance,Skill,"Ensures conformance to mining laws, regulations, standards, and other requirements (e.g., site permits) to operate."
SKLMIN04,Geology,Skill,"Studies the origin and history of the Earth, the materials of which it is composed, the changes it has undergone or is experiencing, and the processes that cause changes."
SKLMIN05,Geological Mapping,Skill,"Produces a range of maps for different uses, including assessing ground-water quality and contamination risks, predicting earthquakes, volcano, and landslide hazards. Characterizes energy and mineral resources and their extraction costs, waste repository "
SKLMIN06,Geoscience,Skill,"Studies the Earth and processes that form and shape the Earth's surface, natural resources, and how water and ecosystems are interconnected. Uses tools and techniques from other sciences (e.g., chemistry, physics, biology, and math)."
SKLVET67,Veterinary Urinary Catheterization,Skill,Inserts a catheter to enable the animal's bladder to empty when the animal does not have the ability to do so themselves.
SKLMIN07,Drilling and Blasting,Skill,"Uses drilling and blasting techniques in quarrying, mining, and tunneling to attain economic value from rock masses. Creates a blast pattern, blasts and drills holes into the rock surface, charges the blast hole with explosive materials, and detonates the"
SKLMIN08,Drill and Blast Design,Skill,Studies and analyzes past practices in relation to rock formation and geology in the area to design drilling and blasting methods and patterns to achieve the best possible result.
SKLMIN09,Explosives Management,Skill,"Applies explosive technologies, manages quality and safety systems in a cost-effective explosives production environment. Chooses from the various types of explosives and utilizes them appropriately according to their properties and performance."
SKLMIN13,Mining Trends,Skill,"Keeps abreast of local and international trends, developments, and technologies within the mining field. Understands the impact of these on the organization. Incorporates relevant trends to ensure the organizationâs relevance and competitiveness."
SKLMIN14,Knowledge of Mining Methods,Skill,"Understands the different mining methods, the different sources that are being targeted for extraction, the location of the deposits and the capacity of each method to profitably extract the resource. Keeps up to date with the different tools and technolo"
SKLMIN15,Spatial Analysis,Skill,"Examines the locations, attributes, and relationships of features in spatial data through overlay and other analytical techniques to address a question or gain useful knowledge."
SKLVET69,Veterinary Volunteering,Skill,Volunteers in veterinary environments by helping with various tasks.
SKLMIN16,Mining Ventilation Software,Skill,"Uses applicable software systems to optimize the locations of fans, cooling plants, shafts, and airways to control safely the airflow, pressure, and climate. Utilizes this to project duties of fanning, cooling, and air filtration, as well as the capital a"
SKLMIN17,Crane Operations,Skill,"Knows how to use a crane and ensures crane operation is according to the manufacturerâs requirements and worksite regulations. Knows about various types of cranes, such as industrial and process cranes."
SKLIT302,Alteryx,Skill,Uses Alteryx to automate analytic processes and accelerate data-driven business outcomes across the organization. Provides faster data analysis and deeper data insights.
SKLIT304,SolidWorks,Skill,Uses SolidWorks tools and workflows to bring the design and development of products from concepts to reality.
SKLMIN20,Mining Equipment,Skill,Displays knowledge of the equipment used in mining. Operates and maintains the relevant equipment necessary to perform the work effectivelyÂ .
SKLVET70,Wildlife Rehabilitation,Skill,"Saves, treats, and cares for injured, sick, or orphaned wildlife by taking them out of their natural habitat and nurturing and nursing them back to health, in order to release them back into the wild."
SKLVET08,Veterinary Facilities Management,Skill,"Applies knowledge of the full spectrum of facilities planning, operation, and maintenance activities. Maximizes comfort and care level the patient experiences by streamlining how facilities are set up and maintained for animal patients."
SKLVET09,Veterinary Policies and Procedures,Skill,"Develops and/or implements policies and procedures that guide the effective functioning of the clinic, practice, or kennel."
SKLVET10,Animal Training,Skill,"Uses various techniques to train animals for obedience, riding (e.g., horse-riding), security, helping people with disabilities, or performing at competitions or shows)."
SKLVET11,Animal Grooming,Skill,"Uses different techniques to groom animals according to their fur types. This includes bathing and combing of animal fur, inspecting skin for abnormalities, and advising owners of proper coat maintenance."
CAP002,Accountability,Talent,Takes responsibility for one's actions regardless of outcomes. Feels accountable for the quality and timeliness of an outcome or task.
CAP004,Action Orientated,Talent,Demonstrates the personal drive to achieve results that deliver value-added contributions and a positive impact on the organizations success metrics.
CAP005,Advising,Talent,Provides information or giving advice to support decision making or action. Offers suggestions on the best course of action to take.
CAP006,Agile Decision Making,Talent,"Makes swift and agile decisions, and is quick to act before the situation develops or spirals out of control. Uses sound judgment to make timely and effective decisions."
CAP007,Agile Leadership,Talent,Creates a culture for self-organization that allows for quick reaction and change. Is open for ideas and innovation.
CAP008,Agility,Talent,Responds to new circumstances and challenges in a quick and effective manner. Adjusts response to the situation or interaction based on its evolving nature. Makes on-the-spot decisions.
CAP009,Ambition,Talent,Displays an ardent desire and determination to succeed within their role in the larger organization. Has a purpose for their career and contribution to the organization.
CAP010,Analytical Reasoning,Talent,"Uses logic and math to figure out problems by breaking down the information into manageable components, in a step-by-step approach. Examines data to understand issues, assesses consequences of different courses of action, and proposes solutions."
CAP011,Attitudinal Awareness,Talent,Encourages a healthy relationship between employees of all abilities. Breaks down any misconceptions about people of differing abilities. Broadens employees' perspectives and understanding.
CAP050,Global Markets,Talent,"Understands the international economic, social, cultural, technological, legal, and political trends that impact the organization's ability to compete globally."
CAP022,Commercial Thinking,Talent,"Understands the commercial models and strategies that underpin the business, product, or service provided by the organization. Uses successful thinking strategies to solve problems and make decisions as a leader and individual contributor."
CAP012,Growth Mindset,Talent,Believes that abilities can be developed and improved through dedication and hard work. Embraces challenges and views failures as opportunities for growth and improvement.
CAP013,Building Relationships,Talent,"Creates relationships with immediate team and across the organization characterized by a high level of acceptance, cooperation, and mutual respect. Forms relationships outside of the organization that supports individual growth and/or business success."
CAP014,Business Alignment,Talent,"Aligns the direction, products, services, and performance of a function with the rest of the organization. Creates shared energy between the function, the team, and the organization's strategies and objectives which enables the team to successfully deliver on these and contribute to the organization's success."
CAP015,Business Behavior,Talent,"Displays a set of moral principles (e.g., integrity, honesty, professionalism, and respect). Lives the organization's values and ethos. Others have trust in their ability to perform and deliver in line with business values."
CAP021,Collaborating,Talent,"Works together to achieve a common goal by sharing ideas and thinking. Productive and efficient engagement with team members. Plays to each other's strengths. Fosters mutual respect for one another's knowledge, experiences, contributions, and inputs."
CAP016,Business Savvy,Talent,Understands the organizations strategic objectives. Identifies new opportunities for products or services to meet these goals. Analyzes changes in the industry that could affect the organization. Focuses on identifying and dealing with situations that could be risks or opportunities.
CAP017,Change Leader,Talent,"Champions new methods, systems, and processes to improve business performance. Exerts influence on changing the status quo."
CAP019,Client Management,Talent,"Manages and retains client relationships and spend. Identifies increased revenue opportunities within the client. Also, identifies ways to add value to clients with products and services."
CAP023,Communicating Effectively,Talent,Presents with excellent verbal and written skills. Shares relevant knowledge and information and listens to understand others.
CAP025,Confidence,Talent,Believes in one's own abilities and skills. Feels competent in many things and demonstrates an attitude that one can succeed in any situation. Believes that one can deliver to expectations.
CAP026,Confidentiality,Talent,"Maintains appropriate levels of privacy with regards to documentation, information, business or market strategies, trade secrets, etc."
MTT000006,eClincher,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
CAP027,Conflict Resolution,Talent,Approaches conflict with a clear strategy and plan for resolution. Strives to achieve the best possible solution for all. Helps others resolve complex or sensitive disagreements and conflicts.
CAP028,Consistency,Talent,"Creates a stable working environment by displaying consistency in the way one acts, treats people, and sets or manages expectations. Develops trust due to perceived fairness."
CAP029,Consulting,Talent,"Provides technical or business guidance to clients, both internal and external. Applies appropriate consulting techniques and knowledge."
CAP030,Creating Purpose,Talent,Sets a direction and vision for others and aligns others to broader goals and organizational objectives. Creates a sense of shared purpose.
CAP031,Crisis Control,Talent,Identifies threats to an organization and manages any disruptive and unexpected events to minimize the damage and allow for the organization's quick recovery.
CAP043,Empowering Others,Talent,Expresses confidence in the ability of others to be successful. Delegates significant responsibility and authority but provides support as needed.
CAP037,Decision Quality,Talent,"Assesses, anticipates, and makes difficult decisions based on the information or evidence provided (even if limited) in response to a range of work situations."
CAP032,Critical Thinking,Talent,Makes correct inferences on complex problems that require critical evaluation. Understands a situation or problem by identifying patterns or connections and addressing key underlying issues. Sees the bigger picture and connects the dots.
CAP033,Cultural Competence,Talent,"Shows an understanding of cross-cultural and inclusion-related conflicts, tensions, misunderstandings, or opportunities. Respects the cultural frameworks, values and norms, religions, and languages of others. Adapts personal and communication style when faced with different dimensions of culture."
CAP041,Diplomacy,Talent,"Understands the relationships and power plays across the organization. Reads situations and people and navigates many scenarios and stakeholder relations. Finds compromises where there are competing interests, without damaging workplace relationships."
CAP034,Curiosity,Talent,Demonstrates curiosity and passion for making sense of the world around us. Develops a sophisticated way of thinking over time. Challenges their own perspectives constantly.
CAP035,Customer Centricity,Talent,"Establishes effective relationships with internal or external customers to understand their needs. Displays a customer service orientation when interacting with others. Is patient, calm, and tolerant in difficult situations."
MTT000007,Social Pilot,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
CAP038,Delegating,Talent,"Delegates tasks appropriately to meet business goals and/or to build capability in others and enhance others' role satisfaction. Delegates based on tasks, skills, and workloads."
CAP039,Detail Attentive,Talent,"Presents with a meticulous approach to performing tasks and spots minor imperfections or errors. Desires accuracy, neatness, thoroughness, and completeness."
CAP040,Developing Others,Talent,"Provides ongoing feedback and creates learning and development opportunities, formal and informal, to unlock the full potential of each team member."
CAP042,Emotional Intelligence,Talent,"Understands how own emotions can affect other people. Controls emotions effectively in interactions with others. Perceives, evaluates, and responds to own emotions and the emotions of others."
CAP044,Entrepreneurship,Talent,"Identifies opportunities proactively or develops ideas to grow the organization. Weighs the related risks and rewards effectively. Encourages a spirit of ownership among employees by allowing them to identify opportunities, make decisions, and take calculated risks."
CAP046,Facilitating,Talent,Manages and generates group discussions or meetings. Encourages people to take part and work together more effectively. Helps the group understand or reach their common goal.
CAP049,Futurist,Talent,"Takes a long-range perspective in one's thinking; anticipates future needs, problems, obstacles, eventualities, and outcomes. Visualizes outcomes and conveys forward thinking ideas to others. Thinks in a holistic manner, considering all variables that will affect future events."
MTT000008,CoSchedule,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
CAP051,People Centricity,Talent,Shows a genuine awareness and concern for the human experience. Values people instead of their organizational role or value to self. Conscious of the feelings and opinions of others.
MTT000003,Sprout Social,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
CAP052,Impact Management,Talent,"Focuses on the dynamic relationship between the organization and society and strives to make a positive impact on the world. Focuses on improving corporate performance while improving the lives of every stakeholder (customers, suppliers, investors, employees, and communities). Believes business has a higher purpose than just making a profit."
CAP053,Inclusive Leadership,Talent,"Leads with equality at the basis of every employment decision made. Honors the 6 C's - commitment, courage, cognizance of bias, curiosity, cultural intelligence, and collaboration."
CAP054,Independence,Talent,Works autonomously and has a preference and confidence to make decisions without input from others. Prefers working independently.
CAP055,Industry Insight,Talent,"Awareness of current trends, research, regulatory policies, and the latest news within an industry. Understands and keeps up to date on local, national, and international policies, and trends that affect the organization. Applies that knowledge to their line of work."
CAP057,Information Transparency,Talent,Fosters a trusting relationship with employees by being transparent. Shares relevant business-related information to employees timely.
CAP058,Innovation,Talent,Questions orthodox approaches. Is imaginative and inventive. Produces creative solutions to situations and problems. Generates new ideas.
CAP059,Inspirational,Talent,Creates an inspiring vision and direction for the organization and communicates this clearly. Helps people feel personally and emotionally invested.
CAP060,Intercultural Communication,Talent,Encourages positive verbal and nonverbal interaction between employees of varying cultural backgrounds. Educates employees on how to engage positively.
CAP061,Interdisciplinary Knowledge,Talent,Understands concepts and draws knowledge from more than one discipline. Applies this knowledge to solving problems or making decisions.
CAP062,Issue Resolution/Escalation,Talent,Knows when it is appropriate to internally resolve issues and when intervention is needed. Understands what resources are available for when escalation is necessary.
CAP063,Leadership Behavior,Talent,"Displays a set of moral principles (e.g., integrity, honesty, professionalism, and respect). Is highly self-aware, passionate, authentic, democratic, and instills trust in their capability to lead the organization."
CAP064,Leading Others,Talent,Guides others in the successful execution of their assigned responsibilities and helps them to achieve organizational outcomes. Gains support and commitment from others and mobilizes them to act. Reassures in times of fear and change.
CAP065,Learning Agility,Talent,Learns from experience and applies that learning in new situations. Displays a sense of eagerness to become more proficient.
CAP066,Leverages Information,Talent,Collects and reviews information to manage an organization or ongoing activities within it. Knows how to attain this information and uses it efficiently and effectively.
CAP067,Managerial Bravery,Talent,Confronts difficult situations and takes required action even if facing resistance or unpopularity. Fronts tough decisions and takes calculated risks.
CAP068,Managing Blended Teams,Talent,Creates and manages a team of internal employees and external consultants or gig workers. Creates a sense of cohesion and drives the team toward success.
CAP069,Managing Managers,Talent,Manages and mentors managerial level team members (who have their own direct reports to lead) to be successful contributors and leaders and to deliver on strategic objectives.
CAP078,Organizational Knowledge,Talent,"Understands the organization's mission, operating environment, the goals of the specific business functions, and how it works with other functions to serve the customer."
CAP070,Managing Remote Teams,Talent,"Manages a team working remotely and/or internationally. Builds successful relationships with employees who are remote workers. Leverages technology to support learning, productivity, and engagement."
CAP071,Managing Teams,Talent,"Inspires and motivates a group of people to achieve a team goal. Sets, tracks, and reviews their performance and business metrics to evaluate success while creating a productive and positive team culture."
CAP073,Mentoring,Talent,"Guides a less experienced or less knowledgeable person to progress towards goals, insight, or learning. Forms long-term informal relationship with mentee/s."
CAP075,Negotiating,Talent,"Seeks agreement or bargains for advantages, rights, or opportunities. Negotiates with internal and external stakeholders, suppliers, and customers to achieve strong business outcomes."
CAP076,Numerically Savvy,Talent,"Analyzes numerical information and data and identifies relationships between different pieces of information. Performs appropriate calculations and generates logical conclusions based on numerical data. This is demonstrated by using business-related numerical data presented in graphs, tables, and reports to generate solutions to a variety of problems, using excel and other statistical or mathematical tools."
CAP077,Optimizing People Productivity,Talent,"Prioritizes people in the work environment and identifies barriers to productivity (inbox overflow, interruptions, insufficient time for training, etc.). Approaches productivity issues from the employee's perspective and find solutions that enable them to flourish."
