employeeId,skillId,proficiency,yearsOfExperience,lastUsed,certificationStatus
E10020,S505,Expert,8,01-03-2021,Certified
E10020,S507,Beginner,7,16-10-2025,Certified
E10020,S504,Intermediate,3,13-09-2021,Not Certified
E10020,S503,Intermediate,0,29-04-2021,Certified
E10020,S510,Beginner,12,14-04-2025,Not Certified
E10021,S502,Beginner,9,16-11-2020,Certified
E10021,S505,Expert,11,04-05-2025,Certified
E10021,S507,Intermediate,5,23-04-2022,Certified
E10021,S504,Intermediate,10,28-04-2021,Certified
E10021,S508,Intermediate,15,02-12-2020,Certified
E10021,S501,Beginner,2,24-04-2023,Not Certified
E10022,S504,Beginner,6,27-10-2025,Not Certified
E10022,S506,Expert,2,27-08-2024,Certified
E10023,S504,Beginner,15,26-07-2020,Certified
E10023,S507,Expert,4,09-10-2020,Not Certified
E10023,S506,Intermediate,11,01-08-2023,Certified
E10023,S501,Beginner,4,24-06-2021,Certified
E10024,S509,Expert,11,12-01-2021,Certified
E10024,S505,Beginner,12,31-10-2024,Not Certified
E10024,S507,Expert,0,05-04-2021,Certified
E10024,S506,Beginner,4,12-08-2023,Certified
E10024,S510,Intermediate,15,02-05-2023,Certified
E10024,S508,Expert,15,31-10-2021,Certified
E10025,S506,Intermediate,10,26-08-2023,Certified
E10026,S508,Intermediate,13,04-03-2025,Not Certified
E10026,S504,Intermediate,5,01-04-2025,Certified
E10026,S501,Intermediate,4,10-12-2020,Not Certified
E10026,S505,Intermediate,13,23-04-2022,Certified
E10027,S501,Beginner,3,22-06-2021,Certified
E10027,S503,Expert,12,26-02-2023,Certified
E10027,S505,Intermediate,5,19-08-2023,Certified
E10028,S506,Beginner,1,21-06-2022,Not Certified
E10028,S508,Expert,3,23-11-2021,Not Certified
E10028,S510,Expert,3,03-11-2021,Not Certified
E10028,S502,Expert,8,30-08-2020,Certified
E10028,S505,Beginner,14,09-01-2022,Not Certified
E10029,S508,Expert,10,13-08-2021,Certified
E10029,S510,Intermediate,15,06-01-2021,Certified
E10030,S510,Intermediate,4,01-11-2020,Not Certified
E10030,S507,Expert,9,13-03-2025,Certified
E10031,S502,Beginner,0,16-06-2025,Not Certified
E10031,S503,Beginner,5,03-12-2021,Not Certified
E10031,S501,Intermediate,10,17-07-2024,Not Certified
E10032,S507,Intermediate,12,05-01-2022,Not Certified
E10032,S509,Intermediate,7,12-11-2022,Certified
E10032,S505,Intermediate,9,23-03-2024,Not Certified
E10032,S508,Beginner,11,30-04-2023,Certified
E10032,S506,Beginner,6,12-08-2022,Certified
E10032,S510,Intermediate,9,22-09-2021,Certified
E10033,S505,Intermediate,3,03-09-2024,Certified
E10033,S509,Beginner,8,18-06-2020,Certified
E10033,S502,Beginner,0,13-04-2021,Not Certified
E10033,S507,Expert,3,06-07-2024,Not Certified
E10034,S504,Expert,4,01-02-2025,Certified
E10034,S506,Intermediate,7,06-07-2023,Certified
E10034,S507,Beginner,7,06-02-2022,Not Certified
E10035,S504,Intermediate,2,11-11-2023,Certified
E10035,S509,Beginner,3,03-12-2024,Certified
E10035,S505,Beginner,0,11-05-2025,Not Certified
E10035,S510,Expert,15,07-08-2020,Certified
E10035,S501,Beginner,8,17-09-2025,Not Certified
E10036,S508,Beginner,12,15-08-2021,Not Certified
E10037,S507,Intermediate,6,30-12-2021,Certified
E10037,S506,Intermediate,10,07-02-2021,Not Certified
E10037,S509,Intermediate,2,25-05-2025,Not Certified
E10038,S503,Beginner,0,29-08-2024,Certified
E10038,S510,Intermediate,3,19-05-2023,Not Certified
E10038,S506,Beginner,4,27-11-2020,Certified
E10039,S510,Intermediate,9,24-08-2024,Certified
E10039,S509,Expert,6,16-04-2021,Certified
E10039,S503,Expert,0,04-01-2021,Not Certified
E10039,S504,Intermediate,6,01-09-2025,Not Certified
E10039,S508,Beginner,10,26-08-2020,Not Certified
E10040,S501,Expert,1,18-04-2024,Not Certified
E10040,S508,Intermediate,2,20-03-2025,Certified
E10040,S505,Beginner,6,30-08-2022,Certified
E10041,S510,Expert,13,07-07-2025,Not Certified
E10041,S503,Beginner,11,14-05-2021,Certified
E10041,S507,Beginner,7,09-09-2023,Certified
E10041,S502,Intermediate,9,17-05-2024,Not Certified
E10041,S501,Intermediate,11,21-09-2023,Certified
E10041,S504,Beginner,11,24-07-2025,Not Certified
E10042,S510,Intermediate,7,29-01-2023,Certified
E10042,S508,Beginner,1,10-04-2023,Not Certified
E10042,S502,Intermediate,11,14-03-2022,Certified
E10042,S509,Intermediate,11,05-12-2020,Certified
E10042,S505,Expert,10,08-07-2025,Certified
E10042,S506,Beginner,3,30-06-2024,Not Certified
E10043,S502,Expert,8,12-09-2022,Certified
E10043,S504,Beginner,1,16-01-2024,Not Certified
E10043,S509,Beginner,8,17-09-2022,Certified
E10043,S507,Beginner,0,05-08-2024,Not Certified
E10043,S510,Expert,5,09-01-2023,Certified
E10043,S503,Expert,7,14-09-2021,Not Certified
E10044,S508,Intermediate,2,14-01-2024,Certified
E10044,S510,Beginner,6,21-10-2024,Certified
E10044,S509,Expert,12,30-12-2021,Certified
E10045,S507,Beginner,2,26-06-2025,Certified
E10045,S505,Intermediate,11,07-07-2021,Certified
E10046,S501,Expert,1,28-11-2020,Certified
E10046,S509,Intermediate,1,06-12-2021,Certified
E10046,S507,Expert,7,24-10-2024,Not Certified
E10046,S503,Intermediate,13,11-01-2024,Certified
E10047,S508,Beginner,15,16-08-2020,Not Certified
E10047,S501,Beginner,15,25-06-2023,Certified
E10047,S504,Beginner,11,01-04-2025,Certified
E10048,S505,Expert,2,20-08-2025,Not Certified
E10048,S510,Intermediate,6,27-04-2021,Not Certified
E10048,S508,Intermediate,9,26-01-2025,Not Certified
E10048,S507,Intermediate,3,25-12-2021,Not Certified
E10048,S509,Expert,14,13-05-2023,Certified
E10048,S506,Intermediate,11,24-10-2023,Certified
E10049,S505,Intermediate,0,04-01-2023,Not Certified
E10049,S503,Expert,10,23-09-2025,Not Certified
E10049,S502,Expert,7,14-06-2022,Certified
E10049,S506,Intermediate,15,09-08-2023,Certified
E10049,S501,Expert,2,10-01-2025,Not Certified
E10049,S504,Expert,5,09-01-2025,Certified
E10050,S510,Expert,13,18-05-2024,Certified
E10050,S503,Intermediate,4,06-02-2024,Certified
E10051,S508,Expert,5,05-05-2022,Certified
E10051,S507,Expert,9,17-11-2022,Not Certified
E10051,S505,Beginner,13,30-10-2023,Certified
E10051,S504,Expert,3,29-03-2024,Not Certified
E10052,S509,Expert,6,02-02-2023,Not Certified
E10053,S507,Expert,6,05-07-2022,Certified
E10053,S505,Intermediate,1,28-12-2022,Not Certified
E10054,S503,Beginner,12,27-05-2023,Not Certified
E10055,S508,Beginner,10,19-09-2022,Not Certified
E10055,S503,Expert,5,27-04-2023,Certified
E10055,S506,Expert,9,19-12-2024,Certified
E10055,S507,Intermediate,10,17-09-2024,Certified
E10055,S501,Beginner,0,10-07-2022,Not Certified
E10055,S510,Expert,10,08-02-2024,Not Certified
E10056,S508,Expert,9,27-02-2021,Certified
E10056,S506,Beginner,11,20-09-2025,Certified
E10056,S507,Intermediate,12,16-04-2023,Not Certified
E10056,S505,Intermediate,10,28-02-2025,Not Certified
E10056,S502,Expert,4,21-07-2024,Not Certified
E10056,S509,Beginner,8,14-08-2022,Certified
E10057,S505,Expert,0,09-07-2024,Not Certified
E10057,S508,Intermediate,13,07-10-2021,Not Certified
E10057,S506,Beginner,1,01-06-2021,Certified
E10057,S501,Beginner,12,30-03-2022,Certified
E10058,S510,Expert,12,04-08-2022,Certified
E10058,S504,Expert,1,09-06-2023,Certified
E10059,S508,Intermediate,4,10-06-2023,Certified
E10059,S503,Beginner,0,13-08-2025,Not Certified
E10059,S509,Intermediate,8,23-11-2023,Not Certified
E10059,S504,Intermediate,15,20-06-2025,Certified
E10059,S510,Beginner,1,18-04-2021,Not Certified
E10060,S504,Expert,14,17-07-2021,Certified
E10060,S510,Beginner,1,31-07-2022,Certified
E10060,S506,Beginner,11,15-01-2024,Not Certified
E10060,S502,Beginner,14,08-02-2021,Certified
E10060,S503,Intermediate,2,16-08-2024,Certified
E10061,S502,Beginner,9,27-01-2023,Not Certified
E10061,S507,Beginner,15,26-12-2020,Certified
E10061,S504,Intermediate,1,05-09-2023,Certified
E10061,S510,Beginner,0,19-05-2025,Certified
E10061,S505,Intermediate,4,31-12-2020,Certified
E10061,S509,Beginner,2,06-10-2021,Certified
E10062,S501,Intermediate,8,02-12-2022,Not Certified
E10062,S506,Intermediate,0,10-12-2023,Certified
E10062,S510,Expert,1,23-11-2023,Certified
E10062,S507,Expert,5,23-06-2021,Certified
E10063,S508,Beginner,8,25-07-2023,Not Certified
E10063,S501,Beginner,11,26-03-2024,Not Certified
E10064,S502,Beginner,10,07-02-2021,Not Certified
E10065,S506,Beginner,7,24-05-2025,Certified
E10065,S502,Intermediate,8,27-09-2020,Not Certified
E10065,S510,Intermediate,1,02-06-2020,Not Certified
E10066,S508,Intermediate,2,11-12-2021,Not Certified
E10066,S510,Beginner,2,23-12-2024,Certified
E10066,S505,Intermediate,13,16-10-2021,Not Certified
E10066,S504,Expert,9,07-04-2024,Not Certified
E10067,S502,Beginner,2,03-09-2021,Certified
E10067,S509,Intermediate,0,25-09-2022,Not Certified
E10067,S510,Intermediate,1,31-01-2021,Certified
E10067,S503,Beginner,15,22-08-2021,Certified
E10067,S501,Expert,14,09-05-2023,Certified
E10068,S506,Beginner,2,01-08-2024,Not Certified
E10069,S502,Intermediate,9,21-01-2023,Certified
E10069,S506,Intermediate,7,08-09-2020,Certified
E10069,S505,Beginner,11,14-09-2021,Not Certified
E10070,S507,Beginner,9,15-07-2022,Certified
E10070,S505,Expert,5,26-10-2023,Certified
E10070,S504,Beginner,11,13-06-2024,Certified
E10071,S507,Beginner,9,03-03-2022,Certified
E10071,S508,Intermediate,4,03-02-2022,Certified
E10071,S503,Beginner,6,31-07-2021,Certified
E10071,S501,Intermediate,13,14-05-2022,Certified
E10072,S503,Beginner,5,26-05-2023,Not Certified
E10073,S508,Beginner,1,09-10-2025,Certified
E10073,S503,Intermediate,8,21-06-2022,Not Certified
E10073,S502,Beginner,6,26-09-2024,Certified
E10074,S506,Intermediate,6,21-04-2022,Certified
E10075,S508,Intermediate,8,23-04-2024,Not Certified
E10075,S501,Intermediate,9,05-10-2024,Not Certified
E10075,S506,Expert,15,13-11-2020,Not Certified
E10075,S503,Intermediate,2,22-02-2024,Certified
E10075,S504,Beginner,10,17-12-2023,Certified
E10075,S507,Beginner,10,01-08-2023,Certified
E10076,S502,Intermediate,7,25-09-2023,Not Certified
E10076,S505,Expert,5,20-09-2025,Certified
E10076,S504,Intermediate,14,19-03-2022,Certified
E10076,S507,Expert,15,01-03-2024,Not Certified
E10077,S503,Intermediate,14,06-12-2024,Certified
E10077,S505,Beginner,6,15-08-2022,Certified
E10077,S502,Expert,5,10-04-2024,Not Certified
E10077,S506,Expert,13,24-03-2021,Certified
E10077,S504,Intermediate,14,22-09-2024,Certified
E10078,S503,Intermediate,15,06-02-2023,Not Certified
E10078,S507,Expert,15,10-01-2023,Not Certified
E10079,S510,Beginner,6,29-01-2022,Not Certified
E10079,S508,Expert,7,10-07-2022,Not Certified
E10079,S503,Beginner,2,29-09-2022,Not Certified
E10079,S501,Beginner,4,03-11-2021,Certified
E10079,S504,Expert,6,27-08-2023,Certified
E10080,S510,Expert,12,02-02-2023,Not Certified
E10080,S505,Beginner,4,20-05-2024,Certified
E10080,S503,Beginner,14,22-08-2023,Not Certified
E10080,S509,Expert,2,14-02-2023,Certified
E10081,S501,Intermediate,2,09-09-2022,Not Certified
E10081,S503,Intermediate,3,07-09-2024,Not Certified
E10081,S504,Beginner,14,28-02-2023,Certified
E10081,S507,Expert,8,26-07-2023,Certified
E10082,S507,Intermediate,15,01-09-2022,Certified
E10082,S505,Intermediate,10,13-04-2024,Not Certified
E10082,S503,Intermediate,1,17-03-2022,Certified
E10082,S509,Beginner,8,11-07-2022,Certified
E10083,S505,Beginner,7,08-01-2025,Certified
E10083,S508,Intermediate,14,04-06-2024,Not Certified
E10083,S503,Expert,9,01-10-2025,Certified
E10084,S505,Expert,0,22-12-2022,Certified
E10084,S506,Expert,4,15-02-2022,Not Certified
E10085,S508,Beginner,1,25-01-2023,Not Certified
E10085,S510,Intermediate,2,16-07-2022,Not Certified
E10085,S502,Expert,12,18-07-2024,Certified
E10086,S503,Beginner,5,04-03-2021,Certified
E10086,S510,Intermediate,13,25-08-2023,Certified
E10086,S505,Intermediate,13,14-02-2022,Certified
E10086,S508,Intermediate,11,08-02-2022,Not Certified
E10086,S506,Expert,13,13-03-2021,Not Certified
E10087,S508,Expert,11,23-03-2021,Not Certified
E10087,S504,Beginner,0,01-04-2025,Not Certified
E10087,S502,Intermediate,4,14-09-2023,Not Certified
E10087,S507,Beginner,6,25-06-2021,Certified
E10087,S503,Intermediate,2,23-01-2021,Certified
E10088,S501,Expert,6,11-07-2020,Not Certified
E10089,S503,Beginner,4,18-02-2024,Not Certified
E10089,S510,Beginner,8,12-05-2022,Not Certified
E10090,S507,Beginner,9,21-10-2024,Not Certified
E10090,S508,Beginner,12,12-08-2023,Not Certified
E10091,S510,Beginner,6,04-10-2025,Not Certified
E10091,S509,Beginner,12,30-07-2024,Certified
E10091,S505,Expert,14,01-12-2022,Not Certified
E10091,S506,Beginner,13,26-06-2021,Certified
E10091,S502,Intermediate,4,27-04-2024,Certified
E10092,S509,Beginner,11,31-07-2021,Not Certified
E10092,S501,Beginner,1,11-09-2020,Not Certified
E10092,S507,Beginner,3,30-06-2020,Not Certified
E10092,S502,Beginner,13,08-08-2023,Not Certified
E10092,S506,Expert,12,26-05-2024,Certified
E10092,S508,Expert,15,25-01-2025,Certified
E10093,S502,Expert,3,11-06-2022,Certified
E10093,S503,Intermediate,14,24-04-2023,Not Certified
E10093,S507,Intermediate,12,08-05-2025,Not Certified
E10093,S501,Beginner,5,23-07-2025,Not Certified
E10093,S504,Intermediate,14,06-09-2025,Not Certified
E10094,S502,Beginner,5,21-05-2025,Not Certified
E10094,S504,Expert,14,05-11-2024,Certified
E10094,S509,Beginner,3,24-04-2021,Certified
E10094,S508,Expert,10,02-06-2020,Certified
E10095,S507,Expert,1,03-08-2025,Not Certified
E10096,S504,Beginner,8,28-12-2021,Certified
E10096,S509,Intermediate,13,18-05-2025,Not Certified
E10097,S502,Intermediate,10,20-06-2022,Certified
E10097,S504,Intermediate,11,21-10-2022,Not Certified
E10097,S507,Intermediate,9,06-10-2020,Not Certified
E10098,S508,Expert,8,19-09-2025,Certified
E10098,S509,Beginner,8,23-10-2025,Not Certified
E10098,S503,Beginner,0,18-03-2024,Certified
E10099,S507,Beginner,11,03-07-2022,Certified
E10100,S504,Expert,13,09-01-2022,Certified
E10100,S501,Intermediate,9,27-08-2025,Not Certified
E10100,S507,Beginner,8,03-02-2025,Certified
E10100,S510,Intermediate,12,17-05-2024,Not Certified
E10100,S503,Intermediate,0,10-11-2021,Not Certified
E10101,S508,Beginner,5,18-06-2023,Certified
E10101,S503,Expert,1,27-01-2023,Not Certified
E10101,S507,Beginner,0,20-05-2024,Certified
E10101,S510,Beginner,10,08-03-2021,Not Certified
E10101,S506,Intermediate,12,13-01-2024,Certified
E10102,S508,Expert,12,10-09-2023,Certified
E10102,S501,Expert,2,18-08-2024,Not Certified
E10102,S510,Expert,11,12-06-2022,Certified
E10103,S505,Intermediate,2,25-01-2023,Certified
E10103,S508,Expert,2,28-01-2023,Not Certified
E10103,S506,Expert,2,26-08-2025,Certified
E10103,S504,Intermediate,8,04-04-2024,Not Certified
E10103,S510,Intermediate,14,08-09-2020,Certified
E10103,S509,Beginner,12,02-11-2024,Certified
E10104,S505,Expert,13,01-08-2020,Not Certified
E10104,S508,Beginner,8,25-04-2021,Not Certified
E10104,S501,Intermediate,11,26-08-2023,Not Certified
E10104,S509,Intermediate,11,31-03-2024,Certified
E10105,S506,Expert,5,01-02-2021,Not Certified
E10105,S510,Intermediate,7,05-12-2022,Certified
E10106,S506,Expert,15,26-12-2021,Certified
E10106,S504,Intermediate,2,09-09-2022,Not Certified
E10106,S507,Intermediate,14,06-09-2021,Not Certified
E10107,S503,Intermediate,14,18-03-2022,Not Certified
E10107,S501,Intermediate,11,03-12-2020,Certified
E10107,S510,Beginner,5,30-07-2021,Certified
E10108,S502,Beginner,10,29-04-2023,Not Certified
E10108,S504,Beginner,5,11-05-2025,Not Certified
E10108,S508,Intermediate,2,26-11-2021,Not Certified
E10108,S507,Intermediate,15,15-12-2020,Not Certified
E10108,S506,Intermediate,0,28-01-2023,Not Certified
E10109,S509,Expert,15,17-05-2021,Not Certified
E10109,S503,Intermediate,14,21-04-2021,Certified
E10109,S502,Expert,7,20-11-2020,Not Certified
E10109,S505,Expert,11,22-06-2022,Certified
E10109,S508,Beginner,7,12-12-2022,Certified
E10109,S507,Expert,11,31-03-2024,Not Certified
E10110,S509,Expert,12,27-09-2023,Certified
E10110,S503,Beginner,9,20-10-2025,Not Certified
E10110,S505,Expert,6,11-07-2025,Certified
E10110,S504,Beginner,4,09-10-2020,Not Certified
E10111,S509,Beginner,5,29-09-2025,Not Certified
E10111,S505,Beginner,13,28-08-2024,Certified
E10112,S506,Expert,7,15-11-2023,Not Certified
E10112,S502,Beginner,15,03-06-2021,Not Certified
E10113,S501,Intermediate,6,16-11-2023,Certified
E10113,S503,Expert,6,04-08-2020,Certified
E10114,S510,Beginner,10,31-03-2021,Not Certified
E10115,S507,Expert,8,07-10-2023,Not Certified
E10116,S506,Expert,15,26-11-2023,Not Certified
E10116,S510,Expert,2,16-12-2022,Certified
E10116,S508,Intermediate,8,10-01-2023,Certified
E10116,S502,Beginner,10,06-10-2024,Not Certified
E10116,S501,Beginner,2,22-12-2024,Certified
E10116,S507,Beginner,3,29-03-2021,Not Certified
E10117,S503,Beginner,9,23-05-2025,Not Certified
E10117,S510,Intermediate,0,05-12-2023,Certified
E10117,S505,Beginner,13,15-11-2024,Not Certified
E10118,S510,Expert,5,06-07-2023,Not Certified
E10118,S501,Beginner,14,04-06-2021,Certified
E10119,S504,Intermediate,9,29-03-2021,Not Certified
E10119,S502,Beginner,10,25-03-2023,Certified
E10119,S509,Expert,15,19-10-2024,Certified
E10119,S508,Beginner,5,27-05-2021,Certified
E10119,S501,Intermediate,8,15-07-2025,Certified
E10120,S503,Intermediate,0,17-09-2022,Not Certified
E10120,S507,Expert,7,21-11-2021,Not Certified
E10120,S506,Expert,15,12-11-2022,Not Certified
E10120,S510,Beginner,10,05-12-2021,Certified
E10120,S508,Intermediate,12,01-02-2023,Not Certified
E10121,S503,Expert,5,07-09-2024,Certified
E10121,S504,Beginner,8,01-04-2023,Not Certified
E10121,S505,Intermediate,6,29-04-2025,Not Certified
E10121,S510,Intermediate,2,23-06-2020,Certified
E10121,S508,Beginner,9,28-12-2022,Not Certified
E10122,S506,Expert,6,13-02-2024,Not Certified
E10122,S508,Intermediate,9,11-03-2024,Not Certified
E10122,S503,Intermediate,9,17-01-2025,Not Certified
E10122,S507,Intermediate,15,07-03-2025,Not Certified
E10123,S504,Beginner,5,13-02-2023,Not Certified
E10123,S501,Beginner,9,06-08-2020,Certified
E10124,S510,Intermediate,1,01-01-2023,Not Certified
E10125,S505,Expert,2,28-10-2025,Certified
E10125,S509,Beginner,2,17-01-2024,Not Certified
E10125,S502,Intermediate,11,02-05-2024,Certified
E10125,S508,Expert,4,26-02-2023,Not Certified
E10125,S503,Beginner,11,08-08-2025,Not Certified
E10126,S502,Beginner,10,29-08-2025,Certified
E10126,S505,Expert,2,11-06-2022,Not Certified
E10126,S501,Intermediate,6,10-06-2023,Certified
E10126,S508,Intermediate,11,28-08-2023,Not Certified
E10126,S504,Beginner,9,28-09-2020,Not Certified
E10126,S506,Intermediate,15,02-02-2022,Not Certified
E10127,S506,Expert,10,17-04-2025,Certified
E10128,S508,Expert,11,25-08-2021,Not Certified
E10128,S501,Expert,10,27-06-2020,Certified
E10128,S504,Intermediate,12,23-04-2021,Not Certified
E10128,S503,Expert,7,14-03-2023,Certified
E10129,S507,Expert,6,08-02-2024,Certified
E10129,S501,Beginner,13,21-11-2023,Certified
E10129,S508,Expert,1,10-07-2023,Not Certified
E10129,S505,Beginner,15,04-08-2020,Not Certified
E10129,S504,Intermediate,2,27-10-2023,Not Certified
E10130,S501,Expert,5,05-09-2025,Certified
E10130,S508,Intermediate,1,28-07-2025,Not Certified
E10130,S502,Expert,3,24-11-2022,Certified
E10130,S507,Expert,13,23-07-2023,Not Certified
E10131,S506,Beginner,13,27-12-2024,Not Certified
E10132,S509,Intermediate,10,14-07-2025,Certified
E10132,S501,Beginner,1,07-12-2021,Not Certified
E10133,S507,Beginner,0,22-05-2025,Certified
E10133,S505,Intermediate,13,22-01-2022,Not Certified
E10133,S504,Expert,9,21-04-2023,Not Certified
E10133,S503,Intermediate,13,27-04-2024,Certified
E10134,S510,Expert,6,28-06-2022,Not Certified
E10134,S505,Expert,12,18-12-2021,Certified
E10134,S503,Beginner,12,07-11-2023,Certified
E10134,S509,Intermediate,3,10-02-2021,Not Certified
E10134,S508,Beginner,10,12-07-2020,Not Certified
E10134,S504,Beginner,11,21-08-2023,Certified
E10135,S501,Expert,11,03-05-2025,Not Certified
E10135,S509,Expert,14,05-05-2024,Not Certified
E10135,S502,Intermediate,3,22-05-2025,Certified
E10136,S510,Beginner,12,28-12-2022,Certified
E10137,S507,Beginner,13,16-12-2023,Certified
E10138,S507,Beginner,4,12-06-2023,Certified
E10138,S503,Beginner,8,30-04-2022,Certified
E10138,S502,Beginner,15,22-10-2025,Certified
E10139,S508,Intermediate,12,12-02-2025,Certified
E10139,S503,Intermediate,5,12-07-2022,Certified
E10139,S501,Intermediate,9,28-01-2025,Certified
E10139,S504,Intermediate,5,26-02-2022,Not Certified
E10140,S502,Expert,10,27-12-2020,Certified
E10140,S503,Intermediate,7,16-02-2022,Certified
E10140,S509,Expert,1,06-04-2023,Certified
E10140,S506,Intermediate,9,27-05-2025,Certified
E10141,S504,Expert,5,17-05-2021,Not Certified
E10141,S507,Intermediate,12,08-08-2020,Not Certified
E10141,S509,Beginner,0,06-06-2022,Certified
E10141,S506,Intermediate,2,14-11-2023,Not Certified
E10141,S501,Intermediate,4,30-10-2023,Certified
E10141,S510,Expert,13,31-07-2024,Certified
E10142,S507,Beginner,5,06-08-2024,Not Certified
E10142,S508,Beginner,2,04-05-2024,Not Certified
E10142,S501,Intermediate,3,15-07-2025,Not Certified
E10142,S510,Intermediate,4,05-12-2020,Not Certified
E10142,S509,Beginner,15,21-01-2024,Certified
E10143,S505,Beginner,12,19-05-2023,Not Certified
E10143,S508,Expert,5,29-06-2023,Certified
E10143,S503,Beginner,0,07-11-2024,Not Certified
E10144,S510,Intermediate,9,25-03-2023,Not Certified
E10144,S502,Intermediate,10,22-09-2020,Not Certified
E10144,S509,Intermediate,1,07-11-2020,Not Certified
E10144,S501,Expert,0,09-06-2024,Certified
E10144,S506,Beginner,8,12-12-2021,Certified
E10145,S505,Intermediate,8,11-10-2021,Not Certified
E10145,S504,Beginner,15,29-05-2023,Not Certified
E10145,S508,Intermediate,7,03-10-2024,Certified
E10145,S503,Intermediate,15,18-07-2024,Certified
E10145,S506,Intermediate,13,05-08-2020,Not Certified
E10145,S510,Expert,11,09-03-2021,Certified
E10146,S504,Expert,14,23-06-2022,Certified
E10147,S502,Intermediate,13,05-12-2021,Certified
E10147,S509,Intermediate,3,27-02-2024,Certified
E10148,S501,Beginner,2,15-08-2022,Certified
E10148,S503,Expert,5,28-08-2024,Certified
E10148,S505,Expert,15,06-01-2021,Not Certified
E10148,S507,Intermediate,11,26-07-2021,Not Certified
E10148,S509,Expert,12,02-07-2021,Not Certified
E10149,S502,Expert,4,20-04-2023,Not Certified
E10149,S509,Expert,2,07-12-2023,Certified
E10149,S510,Beginner,12,15-11-2021,Certified
E10149,S506,Expert,12,09-12-2023,Certified
E10149,S504,Expert,4,11-03-2022,Certified
E10150,S501,Beginner,3,17-11-2023,Certified
E10150,S502,Beginner,11,28-11-2020,Not Certified
E10151,S503,Beginner,1,02-03-2021,Certified
E10151,S504,Beginner,4,01-07-2022,Not Certified
E10152,S504,Beginner,8,05-08-2021,Certified
E10152,S505,Beginner,6,28-01-2022,Not Certified
E10153,S504,Beginner,1,05-10-2024,Certified
E10154,S507,Beginner,9,25-01-2024,Certified
E10155,S505,Beginner,15,05-09-2020,Certified
E10155,S504,Beginner,15,10-11-2024,Not Certified
E10155,S507,Expert,6,23-02-2023,Not Certified
E10155,S502,Intermediate,1,03-03-2025,Certified
